capacity,current_occupancy,occupancy_rate,empty_beds,is_full,food_needed,water_required,kits_per_person,volunteers_per_person,medical_kits,volunteers_required
844,769,0.9111374407582938,75,0,7885,9547,0.8974240135747419,0.5029377325713069,688,385
341,320,0.9384164222873901,21,0,3517,4115,0.7379283149198095,0.31981187891344953,234,101
309,300,0.970873786407767,9,0,3131,3646,0.8647770107739855,0.4362120089795628,257,131
546,336,0.6153846153846154,210,0,3269,3058,0.5692665063767247,0.5969779562814106,190,200
286,250,0.8741258741258742,36,0,1588,2919,0.5619014921984027,0.4617395860009982,136,113
390,76,0.19487179487179487,314,0,790,1059,0.7542075066791646,0.5287254711503848,57,40
311,235,0.7556270096463023,76,0,2559,3047,0.7696631144170998,0.2910918298425765,180,69
983,621,0.6317395727365208,362,0,5585,5268,0.6435657711475186,0.29603030097786004,400,183
630,397,0.6301587301587301,233,0,4294,4667,0.8995659395049037,0.4980832921659919,357,196
664,347,0.5225903614457831,317,0,2852,4633,0.7488186542974724,0.33835007888716057,258,117
229,137,0.5982532751091703,92,0,1027,1271,0.7518388057076927,0.3794240213381356,102,50
687,566,0.8238719068413392,121,0,5389,7031,0.701404017001146,0.5874291064291277,397,332
240,186,0.775,54,0,1350,2098,0.7246296255942666,0.5467776172734016,136,101
477,329,0.689727463312369,148,0,2344,3143,0.620535259112384,0.3066065038012681,204,99
108,74,0.6851851851851852,34,0,447,944,0.6803708452704611,0.4253587513972278,51,29
813,511,0.6285362853628537,302,0,5565,5723,0.732376505690835,0.581132757232166,374,296
177,132,0.7457627118644068,45,0,1135,1502,0.7541795001011896,0.2659015740357273,100,33
375,280,0.7466666666666667,95,0,2727,2852,0.79433456855557,0.3258861447877215,224,91
849,741,0.872791519434629,108,0,6080,7278,0.5539449017643361,0.3169589146715857,413,233
606,215,0.3547854785478548,391,0,2244,2352,0.6083516022534837,0.33843974649719544,130,72
222,103,0.46396396396396394,119,0,944,958,0.8116242973923687,0.2637438549749836,84,26
762,710,0.931758530183727,52,0,7056,9439,0.8909429970582895,0.4056643190656073,629,290
828,382,0.4613526570048309,446,0,2928,4808,0.8270377162596889,0.4111960948434118,315,157
837,479,0.5722819593787336,358,0,4986,5444,0.6446717295014295,0.5377915706023733,308,257
603,401,0.6650082918739635,202,0,4017,4843,0.7644577668885925,0.42476278728498734,306,170
663,323,0.48717948717948717,340,0,3154,3287,0.6338974847093123,0.49505373373552375,206,159
568,467,0.8221830985915493,101,0,3749,3886,0.8274264504997563,0.5681942631396639,384,265
723,130,0.1798063623789765,593,0,1187,1273,0.7168524122756068,0.33850061445308227,93,43
809,738,0.9122373300370828,71,0,6308,6924,0.7239365149113005,0.3808879493632559,532,279
382,274,0.7172774869109948,108,0,1682,2547,0.873204255541947,0.5478939480877689,235,153
967,233,0.24095139607032057,734,0,2405,2703,0.6334107438651124,0.3709273455155574,147,86
293,244,0.8327645051194539,49,0,2354,3199,0.8937657860220221,0.5418826042055038,218,133
223,181,0.8116591928251121,42,0,1815,2532,0.5814781766657567,0.5534440537642566,104,99
739,261,0.3531799729364005,478,0,2056,3637,0.6205700745470265,0.31854601206505584,163,83
476,163,0.34243697478991597,313,0,997,2271,0.7494704126778041,0.5067595034381622,124,82
455,101,0.22197802197802197,354,0,900,1288,0.8573188987599295,0.5365443515091979,86,54
605,306,0.5057851239669422,299,0,2823,3683,0.6988355116128273,0.2585950179522892,212,79
956,474,0.49581589958158995,482,0,3380,5102,0.691200806642403,0.48237266660318,327,226
487,156,0.3203285420944558,331,0,1650,1984,0.6565226576033318,0.29600842602686983,95,46
95,64,0.6736842105263158,31,0,503,562,0.7359596430903188,0.27050412783666056,45,17
997,762,0.7642928786359077,235,0,5368,9861,0.8448755575312543,0.5987792874607265,644,454
353,282,0.7988668555240793,71,0,2854,3204,0.8098564124140877,0.38702584895409625,223,108
159,83,0.5220125786163522,76,0,581,779,0.5786116245400728,0.3861039282677816,48,32
766,711,0.9281984334203656,55,0,5218,6580,0.6649679116022551,0.586641454937872,469,417
85,67,0.788235294117647,18,0,506,694,0.8196951856647925,0.3709514589996567,53,23
346,261,0.7543352601156069,85,0,1645,2374,0.7618330856699513,0.3458110364431116,199,89
579,259,0.4473229706390328,320,0,1743,3394,0.7710733176778878,0.3254171648772815,200,83
179,137,0.7653631284916201,42,0,1363,1825,0.588370339368232,0.30458970379215733,79,40
723,440,0.6085753803596127,283,0,3668,4783,0.8910715037194967,0.43310332931334294,389,191
375,358,0.9546666666666667,17,0,3127,3248,0.5863754832111532,0.525395317553405,209,188
442,217,0.49095022624434387,225,0,2211,2898,0.8595599768725601,0.5656520238847511,184,123
515,128,0.24854368932038834,387,0,1334,1064,0.8207562112821151,0.5860098549193572,107,73
449,378,0.8418708240534521,71,0,3099,3041,0.5605301656024297,0.5812087741630942,211,220
662,445,0.6722054380664653,217,0,4781,4019,0.8205191215890771,0.49076952964253584,367,217
481,407,0.8461538461538461,74,0,3831,4017,0.6362835146831595,0.5553638511648189,256,225
212,175,0.8254716981132075,37,0,1889,2378,0.6271787939001382,0.25310751876844073,108,45
616,251,0.4074675324675325,365,0,2249,3501,0.7384336703169895,0.5389373510350498,183,134
280,128,0.45714285714285713,152,0,1026,1187,0.711770935630663,0.4191184902747248,91,53
553,328,0.593128390596745,225,0,2998,3444,0.6368158640395656,0.4133083638087756,208,136
561,261,0.46524064171123,300,0,1667,2842,0.896536387519113,0.28006671246748566,233,74
325,209,0.6430769230769231,116,0,2181,1792,0.8769239140483133,0.3718422138303824,182,78
614,50,0.08143322475570032,564,0,441,627,0.8517283733594334,0.35005160684851483,41,16
93,61,0.6559139784946236,32,0,512,610,0.8556175361527192,0.5659501900233566,51,33
974,305,0.3131416837782341,669,0,2446,4224,0.6390485648902542,0.3013278598081545,193,92
864,330,0.3819444444444444,534,0,3364,3301,0.5945329149810286,0.5611070190679279,198,185
808,188,0.23267326732673269,620,0,1932,1707,0.8239753025145896,0.5118084850880705,154,95
736,494,0.6711956521739131,242,0,3042,6686,0.7152855188127439,0.46537903160193883,352,231
641,43,0.06708268330733229,598,0,379,495,0.8408474694292171,0.46920103068813523,37,21
397,316,0.7959697732997482,81,0,2161,4006,0.8212098333160645,0.511928891453227,258,161
707,679,0.9603960396039604,28,0,4748,9174,0.7465787815202487,0.4167740543943644,507,282
395,76,0.19240506329113924,319,0,600,675,0.8406193279685262,0.5877274949182043,58,42
128,86,0.671875,42,0,746,1039,0.6955270288136189,0.5323738409152265,58,45
408,148,0.3627450980392157,260,0,1496,1739,0.5609643495222711,0.41419549340429235,83,61
222,126,0.5675675675675675,96,0,1327,1099,0.6856248635882866,0.43425516743244297,86,54
250,170,0.68,80,0,1746,1820,0.7063066653586444,0.3950907717425306,118,64
74,38,0.5135135135135135,36,0,278,411,0.7716298013892796,0.45049127674669087,29,19
875,478,0.5462857142857143,397,0,4826,4878,0.6148229570102914,0.5683104386870825,291,272
386,113,0.2927461139896373,273,0,871,1364,0.8541442819444525,0.3393945949693048,96,38
741,493,0.6653171390013495,248,0,3202,5257,0.8372436220622632,0.3233135402791385,412,158
580,206,0.35517241379310344,374,0,1847,2202,0.5841044146915093,0.5579522099960863,121,115
208,102,0.49038461538461536,106,0,739,870,0.8963969356009198,0.3366580937270882,90,36
